category,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
Apparel,14949.219,13768.8585,19012.150999999998,20484.099000000002,25730.2205,23720.3715,15428.0955,17812.949,17486.578,29145.579,34416.3295,14398.1755,29441.589500000002,32789.2605,24566.301,23213.6915,31802.9715,31595.863,41856.7605,33102.3865,24764.999499999998,36262.435,37709.1705,49840.006,39663.989,43542.3815,52174.8915,40180.7895,50197.887,45272.5695,54009.17,51440.274,46842.763,47661.529,46324.9715,48331.8235
Beauty & Health,26614.123625,20445.828,14322.686,27897.8155,26384.025,22921.703375,25870.5365,22248.742375,24066.4535,24324.481375,31538.529749999998,32754.322375,26669.839,24454.6785,21172.847125,21710.590500000002,39069.017375,33476.984375,30220.854375,35161.686,29792.268625,46889.624375,34625.369625,44798.912875,40306.549875,37512.281375,47826.111124999996,45330.9355,39212.772375,49471.9245,52558.3535,52043.735875,34719.8695,47608.2245,64314.2805,55065.51125
Books & Media,19671.737,18625.4085,18720.392499999998,15483.656,17748.311,16587.001500000002,20590.907,15924.531500000001,19449.847,19750.0115,24508.1825,25229.087125,24102.3345,14852.184375,21128.65525,14254.0045,38988.537125,37403.114625,31337.1185,36204.894875,29855.959,31661.708,32731.43775,38927.1105,41704.598,31598.57975,34940.5075,38962.6135,44125.021,39514.0715,50808.466,56519.6605,46559.392,46241.7085,48777.5705,45861.679
Electronics,20471.056,14222.022,18244.1905,21678.9625,26967.7935,15494.257,20821.6645,25690.114,25593.577,20008.1425,24504.7145,26686.479,24649.4235,23957.559,23157.7015,30001.994000000002,19033.949,35159.855,31137.134000000002,29883.5965,30101.838,30164.0635,36930.1425,37186.808,43637.005,36657.761,35661.562,41948.7175,43240.520000000004,36739.1745,44826.0915,46424.769,49147.056000000004,47027.827000000005,53862.313,57268.796
Home & Kitchen,19623.398,13617.5435,20314.356499999998,8301.9825,11892.0695,18701.049,17303.4105,18874.4265,16221.746,20586.7355,26647.1025,22080.5435,19775.081,23641.3675,17953.7275,20353.601,26837.435,24453.181,29452.4745,25273.7295,27039.5415,33121.32,24665.434,33134.025,36845.6955,31032.686,29447.349000000002,27801.396,53024.7655,34784.113,45513.806,53018.526,27459.606499999998,37261.5265,39399.36,35609.167
Sports & Outdoors,18190.9075,16690.824,19739.4425,12305.5485,23978.385,22244.13,17024.484,21366.9515,15924.0875,17844.3995,25064.5295,28081.1265,32530.095,19953.5565,18153.2655,24841.374499999998,29226.788,31498.974000000002,33199.8815,23013.8255,37394.8505,36007.7955,34327.274,35564.661,44596.913,45748.6515,39531.64,49222.878,45755.085,36276.3455,50355.5855,61418.5645,37853.745,43720.2495,50974.337,44247.6935
